name,rank,year,industry,sector,headquarters_state,headquarters_city,market_value_mil,revenue_mil,profit_mil,asset_mil,employees,founder_is_ceo,female_ceo,newcomer_to_fortune_500,global_500
Kmart Corporation,16,1996,General Merchandisers,Financials,MI,Not Available,15835.0,34654.0,948.0,19067.0,25332.0,no,no,no,no
The Procter & Gamble Company,17,1996,"Soaps, Cosmetics",Financials,OH,Not Available,15835.0,33434.0,948.0,19067.0,25332.0,no,no,no,no
Chevron Corporation,18,1996,Petroleum Refining,Financials,CA,Not Available,15835.0,32094.0,948.0,19067.0,25332.0,no,no,no,no
Citicorp,19,1996,Commercial Banks,Financials,NY,Not Available,15835.0,31690.0,948.0,19067.0,25332.0,no,no,no,no
Hewlett-Packard Company,20,1996,"Computers, Office Equipment",Financials,CA,Not Available,15835.0,31519.0,948.0,19067.0,25332.0,no,no,no,no
"PepsiCo, Inc.",21,1996,Food Services,Financials,NY,Not Available,15835.0,30421.0,948.0,19067.0,25332.0,no,no,no,no
Metropolitan Life Insurance Co.,22,1996,"Insurance: Life, Health (Mutual)",Financials,NY,Not Available,15835.0,27977.0,948.0,19067.0,25332.0,no,no,no,no
Amoco Corporation,23,1996,Petroleum Refining,Financials,IL,Not Available,15835.0,27665.0,948.0,19067.0,25332.0,no,no,no,no
"Motorola, Inc.",24,1996,"Electronics, Electrical Equipment",Financials,IL,Not Available,15835.0,27037.0,948.0,19067.0,25332.0,no,no,no,no
"American International Group,Inc.",25,1996,Insurance: Property and Casualty (Stock),Financials,NY,Not Available,15835.0,25874.0,948.0,19067.0,25332.0,no,no,no,no
"ConAgra, Inc.",26,1996,Food,Financials,NE,Not Available,15835.0,24108.9,948.0,19067.0,25332.0,no,no,no,no
The Kroger Company,27,1996,Food & Drug Stores,Financials,OH,Not Available,15835.0,23937.8,948.0,19067.0,25332.0,no,no,no,no
Dayton Hudson Corporation,28,1996,General Merchandisers,Financials,MN,Not Available,15835.0,23516.0,948.0,19067.0,25332.0,no,no,no,no
Lockheed Martin Corporation,29,1996,Aerospace & Defense,Financials,MD,Not Available,15835.0,22853.0,948.0,19067.0,25332.0,no,no,no,no
United Technologies Corporation,30,1996,Aerospace & Defense,Financials,CT,Not Available,15835.0,22802.0,948.0,19067.0,25332.0,no,no,no,no
The Allstate Corporation,31,1996,Insurance: Property and Casualty (Stock),Financials,IL,Not Available,15835.0,22793.0,948.0,19067.0,25332.0,no,no,no,no
Federal National Mortgage Association,32,1996,Diversified Financials,Financials,DC,Not Available,15835.0,22246.0,948.0,19067.0,25332.0,no,no,no,no
"Merrill Lynch & Company, Inc.",33,1996,X Brokerage,Financials,NY,Not Available,15835.0,21513.0,948.0,19067.0,25332.0,no,no,no,no
"J.C. Penney Company, Inc.",34,1996,General Merchandisers,Financials,TX,Not Available,15835.0,21419.0,948.0,19067.0,25332.0,no,no,no,no
"United Parcel Service of America, Inc.",35,1996,"Mail, Package, and Freight Delivery",Financials,GA,Not Available,15835.0,21045.0,948.0,19067.0,25332.0,no,no,no,no
The Dow Chemical Company,36,1996,Chemicals,Financials,MI,Not Available,15835.0,20957.0,948.0,19067.0,25332.0,no,no,no,no
BankAmerica Corporation,37,1996,Commercial Banks,Financials,CA,Not Available,15835.0,20386.0,948.0,19067.0,25332.0,no,no,no,no
GTE Corporation,38,1996,Telecommunications,Financials,CT,Not Available,15835.0,19957.0,948.0,19067.0,25332.0,no,no,no,no
International Paper Company,39,1996,Forest and Paper Products,Financials,NY,Not Available,15835.0,19797.0,948.0,19067.0,25332.0,no,no,no,no
The Boeing Company,40,1996,Aerospace & Defense,Financials,WA,Not Available,15835.0,19515.0,948.0,19067.0,25332.0,no,no,no,no
Xerox Corporation,41,1996,"Scientific, Photographic and Control Equipment",Financials,CT,Not Available,15835.0,18963.0,948.0,19067.0,25332.0,no,no,no,no
Cigna Corporation,42,1996,"Insurance: Life, Health (Stock)",Financials,PA,Not Available,15835.0,18955.0,948.0,19067.0,25332.0,no,no,no,no
Johnson & Johnson,43,1996,Pharmaceuticals,Financials,NJ,Not Available,15835.0,18842.0,948.0,19067.0,25332.0,no,no,no,no
Loews Corporation,44,1996,Insurance: Property and Casualty (Stock),Financials,NY,Not Available,15835.0,18770.0,948.0,19067.0,25332.0,no,no,no,no
American Stores Company,45,1996,Food & Drug Stores,Financials,UT,Not Available,15835.0,18308.9,948.0,19067.0,25332.0,no,no,no,no
"Price/Costco, Inc.",46,1996,Specialty Retailers,Financials,WA,Not Available,15835.0,18247.3,948.0,19067.0,25332.0,no,no,no,no
USX Corporation,47,1996,Petroleum Refining,Financials,PA,Not Available,15835.0,18214.0,948.0,19067.0,25332.0,no,no,no,no
The Coca-Cola Company,48,1996,Beverages,Financials,GA,Not Available,15835.0,18018.0,948.0,19067.0,25332.0,no,no,no,no
BellSouth Corporation,49,1996,Telecommunications,Financials,GA,Not Available,15835.0,17886.0,948.0,19067.0,25332.0,no,no,no,no
Sara Lee Corporation,50,1996,Food,Financials,IL,Not Available,15835.0,17719.0,948.0,19067.0,25332.0,no,no,no,no
Columbia/HCA Healthcare Corp.,51,1996,Health Care,Financials,TN,Not Available,15835.0,17695.0,948.0,19067.0,25332.0,no,no,no,no
"Fleming Companies, Inc.",52,1996,Wholesalers,Financials,OK,Not Available,15835.0,17501.6,948.0,19067.0,25332.0,no,no,no,no
AMR Corporation,53,1996,Airlines,Financials,TX,Not Available,15835.0,16910.0,948.0,19067.0,25332.0,no,no,no,no
Atlantic Richfield Company,54,1996,Petroleum Refining,Financials,CA,Not Available,15835.0,16739.0,948.0,19067.0,25332.0,no,no,no,no
"Merck & Co., Inc.",55,1996,Pharmaceuticals,Financials,NJ,Not Available,15835.0,16681.1,948.0,19067.0,25332.0,no,no,no,no
The Travelers Group,56,1996,Insurance: Property and Casualty (Stock),Financials,NY,Not Available,15835.0,16583.0,948.0,19067.0,25332.0,no,no,no,no
"Supervalu, Inc.",57,1996,Wholesalers,Financials,MN,Not Available,15835.0,16563.8,948.0,19067.0,25332.0,no,no,no,no
"Safeway, Inc.",58,1996,Food & Drug Stores,Financials,CA,Not Available,15835.0,16397.5,948.0,19067.0,25332.0,no,no,no,no
NationsBank Corporation,59,1996,Commercial Banks,Financials,NC,Not Available,15835.0,16298.0,948.0,19067.0,25332.0,no,no,no,no
Intel Corporation,60,1996,"Electronics, Electrical Equipment",Financials,CA,Not Available,15835.0,16202.0,948.0,19067.0,25332.0,no,no,no,no
New York Life Insurance Company,61,1996,"Insurance: Life, Health (Mutual)",Financials,NY,Not Available,15835.0,16201.7,948.0,19067.0,25332.0,no,no,no,no
Minnesota Mining & Manufacturing Company,62,1996,"Scientific, Photographic and Control Equipment",Financials,MN,Not Available,15835.0,16105.0,948.0,19067.0,25332.0,no,no,no,no
"Caterpillar, Inc.",63,1996,Industrial and Farm Equipment,Financials,IL,Not Available,15835.0,16072.0,948.0,19067.0,25332.0,no,no,no,no
RJR Nabisco Holdings Corporation,64,1996,Food,Financials,NY,Not Available,15835.0,16008.0,948.0,19067.0,25332.0,no,no,no,no
American Express Company,65,1996,Diversified Financials,Financials,NY,Not Available,15835.0,15841.0,948.0,19067.0,25332.0,no,no,no,no
"The Home Depot, Inc.",66,1996,Specialty Retailers,Financials,GA,Not Available,15835.0,15470.4,948.0,19067.0,25332.0,no,no,no,no
Eastman Kodak Company,67,1996,"Scientific, Photographic and Control Equipment",Financials,NY,Not Available,15835.0,15269.0,948.0,19067.0,25332.0,no,no,no,no
MCI Communications Corporation,68,1996,Telecommunications,Financials,DC,Not Available,15835.0,15265.0,948.0,19067.0,25332.0,no,no,no,no
morg,69,1996,General Merchandisers,Financials,OH,Not Available,15835.0,15048.5,948.0,19067.0,25332.0,no,no,no,no
UAL Corporation,70,1996,Airlines,Financials,IL,Not Available,15835.0,14943.0,948.0,19067.0,25332.0,no,no,no,no
Chemical Banking Corporation,71,1996,Commercial Banks,Financials,NY,Not Available,15835.0,14884.0,948.0,19067.0,25332.0,no,no,no,no
Compaq Computer Corporation,72,1996,"Computers, Office Equipment",Financials,TX,Not Available,15835.0,14755.0,948.0,19067.0,25332.0,no,no,no,no
AlliedSignal Inc.,73,1996,Aerospace & Defense,Financials,NJ,Not Available,15835.0,14346.0,948.0,19067.0,25332.0,no,no,no,no
McDonnell Douglas Corporation,74,1996,Aerospace & Defense,Financials,MO,Not Available,15835.0,14332.0,948.0,19067.0,25332.0,no,no,no,no
Georgia-Pacific Corporation,75,1996,Forest and Paper Products,Financials,GA,Not Available,15835.0,14292.0,948.0,19067.0,25332.0,no,no,no,no
J.P. Morgan & Co. Inc.,76,1996,Commercial Banks,Financials,NY,Not Available,15835.0,13838.0,948.0,19067.0,25332.0,no,no,no,no
Digital Equipment Corporation,77,1996,"Computers, Office Equipment",Financials,MA,Not Available,15835.0,13813.1,948.0,19067.0,25332.0,no,no,no,no
Kimberly-Clark Corporation,78,1996,Forest and Paper Products,Financials,TX,Not Available,15835.0,13788.6,948.0,19067.0,25332.0,no,no,no,no
Bristol-Myers Squibb Company,79,1996,Pharmaceuticals,Financials,NY,Not Available,15835.0,13767.0,948.0,19067.0,25332.0,no,no,no,no
Sprint Corporation,80,1996,Telecommunications,Financials,KS,Not Available,15835.0,13599.5,948.0,19067.0,25332.0,no,no,no,no
Phillips Petroleum Company,81,1996,Petroleum Refining,Financials,OK,Not Available,15835.0,13521.0,948.0,19067.0,25332.0,no,no,no,no
"Lehman Brothers Holdings, Inc.",82,1996,X Brokerage,Financials,NY,Not Available,15835.0,13476.0,948.0,19067.0,25332.0,no,no,no,no
Bell Atlantic Corporation,83,1996,Telecommunications,Financials,PA,Not Available,15835.0,13429.5,948.0,19067.0,25332.0,no,no,no,no
Ameritech Corporation,84,1996,Telecommunications,Financials,IL,Not Available,15835.0,13427.8,948.0,19067.0,25332.0,no,no,no,no
NYNEX Corporation,85,1996,Telecommunications,Financials,NY,Not Available,15835.0,13406.9,948.0,19067.0,25332.0,no,no,no,no
American Home Products Corporation,86,1996,Pharmaceuticals,Financials,NJ,Not Available,15835.0,13376.1,948.0,19067.0,25332.0,no,no,no,no
McKesson Corporation,87,1996,Wholesalers,Financials,CA,Not Available,15835.0,13325.5,948.0,19067.0,25332.0,no,no,no,no
The Goodyear Tire & Rubber Company,88,1996,Rubber and Plastic Products,Financials,OH,Not Available,15835.0,13165.9,948.0,19067.0,25332.0,no,no,no,no
"Texas Instruments, Inc.",89,1996,"Electronics, Electrical Equipment",Financials,TX,Not Available,15835.0,13128.0,948.0,19067.0,25332.0,no,no,no,no
Rockwell International Corporation,90,1996,"Electronics, Electrical Equipment",Financials,CA,Not Available,15835.0,13009.0,948.0,19067.0,25332.0,no,no,no,no
Aetna Life & Casualty Co.,91,1996,"Insurance: Life, Health (Stock)",Financials,CT,Not Available,15835.0,12978.0,948.0,19067.0,25332.0,no,no,no,no
Archer Daniels Midland Company,92,1996,Food,Financials,IL,Not Available,15835.0,12671.9,948.0,19067.0,25332.0,no,no,no,no
"IBP, Inc.",94,1996,Food,Financials,NE,Not Available,15835.0,12667.6,948.0,19067.0,25332.0,no,no,no,no
Alcoa,95,1996,Metals,Financials,PA,Not Available,15835.0,12654.9,948.0,19067.0,25332.0,no,no,no,no
SBC Communications Inc.,96,1996,Food & Drug Stores,Financials,ID,Not Available,15835.0,12585.0,948.0,19067.0,25332.0,no,no,no,no
"Anheuser-Busch Companies, Inc.",97,1996,Beverages,Financials,MO,Not Available,15835.0,12325.5,948.0,19067.0,25332.0,no,no,no,no
"Delta Air Lines, Inc.",98,1996,Airlines,Financials,GA,Not Available,15835.0,12194.0,948.0,19067.0,25332.0,no,no,no,no
The May Department Stores Company,99,1996,General Merchandisers,Financials,MO,Not Available,15835.0,12187.0,948.0,19067.0,25332.0,no,no,no,no
"ITT Hartford Group, Inc.",100,1996,Insurance: Property and Casualty (Stock),Financials,CT,Not Available,15835.0,12150.0,948.0,19067.0,25332.0,no,no,no,no
SYSCO Corporation,101,1996,Wholesalers,Financials,TX,Not Available,15835.0,12118.0,948.0,19067.0,25332.0,no,no,no,no
The Walt Disney Company,102,1996,Entertainment,Financials,CA,Not Available,15835.0,12112.1,948.0,19067.0,25332.0,no,no,no,no
"Winn-Dixie Stores, Inc.",103,1996,Food & Drug Stores,Financials,FL,Not Available,15835.0,11787.8,948.0,19067.0,25332.0,no,no,no,no
Weyerhaeuser Company,104,1996,Forest and Paper Products,Financials,WA,Not Available,15835.0,11787.7,948.0,19067.0,25332.0,no,no,no,no
Viacom Inc.,105,1996,Entertainment,Financials,NY,Not Available,15835.0,11780.2,948.0,19067.0,25332.0,no,no,no,no
"U S WEST, Inc.",106,1996,Telecommunications,Financials,CO,Not Available,15835.0,11746.0,948.0,19067.0,25332.0,no,no,no,no
Raytheon Company,107,1996,"Electronics, Electrical Equipment",Financials,MA,Not Available,15835.0,11716.0,948.0,19067.0,25332.0,no,no,no,no
Nationwide Insurance Enterprise,108,1996,"Insurance: Life, Health (Mutual)",Financials,OH,Not Available,15835.0,11702.4,948.0,19067.0,25332.0,no,no,no,no
Teachers Insurance & Annuity Association of America,109,1996,"Insurance: Life, Health (Mutual)",Financials,NY,Not Available,15835.0,11646.2,948.0,19067.0,25332.0,no,no,no,no
Melville Corporation,110,1996,Specialty Retailers,Financials,NY,Not Available,15835.0,11516.4,948.0,19067.0,25332.0,no,no,no,no
Northwestern Mutual Life Insurance Company,111,1996,"Insurance: Life, Health (Mutual)",Financials,WI,Not Available,15835.0,11483.3,948.0,19067.0,25332.0,no,no,no,no
Chase Manhattan Corporation,112,1996,Commercial Banks,Financials,NY,Not Available,15835.0,11336.0,948.0,19067.0,25332.0,no,no,no,no
"Ashland, Inc.",113,1996,Petroleum Refining,Financials,KY,Not Available,15835.0,11251.1,948.0,19067.0,25332.0,no,no,no,no
"Apple Computer, Inc.",114,1996,"Computers, Office Equipment",Financials,CA,Not Available,15835.0,11062.0,948.0,19067.0,25332.0,no,no,no,no
"WMX Technologies, Inc.",115,1996,Waste Management,Financials,IL,Not Available,15835.0,10979.3,948.0,19067.0,25332.0,no,no,no,no
Morgan Stanley Group Inc.,116,1996,Diversified Financials,Financials,NY,Not Available,15835.0,10949.0,948.0,19067.0,25332.0,no,no,no,no
Federal Home Loan Mortgage Corporation,117,1996,Diversified Financials,Financials,VA,Not Available,15835.0,10915.0,948.0,19067.0,25332.0,no,no,no,no
First Chicago NBD Corporation,118,1996,Commercial Banks,Financials,IL,Not Available,15835.0,10681.0,948.0,19067.0,25332.0,no,no,no,no
First Union Corporation,119,1996,Commercial Banks,Financials,NC,Not Available,15835.0,10582.9,948.0,19067.0,25332.0,no,no,no,no
The Principal Mutual Life Insurance Company,120,1996,"Insurance: Life, Health (Mutual)",Financials,IA,Not Available,15835.0,10561.0,948.0,19067.0,25332.0,no,no,no,no
CSX Corporation,121,1996,Railroads,Financials,VA,Not Available,15835.0,10504.0,948.0,19067.0,25332.0,no,no,no,no
Occidental Petroleum Corporation,122,1996,Chemicals,Financials,CA,Not Available,15835.0,10423.0,948.0,19067.0,25332.0,no,no,no,no
Walgreen Co.,123,1996,Food & Drug Stores,Financials,IL,Not Available,15835.0,10395.1,948.0,19067.0,25332.0,no,no,no,no
The Coastal Corporation,125,1996,Petroleum Refining,Financials,TX,Not Available,15835.0,10223.4,948.0,19067.0,25332.0,no,no,no,no
"TRW, Inc.",126,1996,Motor Vehicles & Parts,Financials,OH,Not Available,15835.0,10172.4,948.0,19067.0,25332.0,no,no,no,no
"Pfizer, Inc.",127,1996,Pharmaceuticals,Financials,NY,Not Available,15835.0,10021.4,948.0,19067.0,25332.0,no,no,no,no
Emerson Electric Company,128,1996,"Electronics, Electrical Equipment",Financials,MO,Not Available,15835.0,10012.9,948.0,19067.0,25332.0,no,no,no,no
Abbott Laboratories,129,1996,Pharmaceuticals,Financials,IL,Not Available,15835.0,10012.2,948.0,19067.0,25332.0,no,no,no,no
"Textron, Inc.",130,1996,Aerospace & Defense,Financials,RI,Not Available,15835.0,9973.0,948.0,19067.0,25332.0,no,no,no,no
Alco Standard Corp.,131,1996,Wholesalers,Financials,PA,Not Available,15835.0,9891.8,948.0,19067.0,25332.0,no,no,no,no
"Baxter International, Inc.",133,1996,"Scientific, Photographic and Control Equipment",Financials,IL,Not Available,15835.0,9730.0,948.0,19067.0,25332.0,no,no,no,no
Pacific Gas & Electric Company,134,1996,Utilities: Gas and Electric,Financials,CA,Not Available,15835.0,9621.8,948.0,19067.0,25332.0,no,no,no,no
Westinghouse Electric Corporation,135,1996,"Electronics, Electrical Equipment",Financials,PA,Not Available,15835.0,9605.0,948.0,19067.0,25332.0,no,no,no,no
"Publix Super Markets, Inc.",136,1996,Food & Drug Stores,Financials,FL,Not Available,15835.0,9470.7,948.0,19067.0,25332.0,no,no,no,no
Deere & Company,137,1996,Specialty Retailers,Financials,NJ,Not Available,15835.0,9426.9,948.0,19067.0,25332.0,no,no,no,no
Federal Express Corporation,138,1996,"Mail, Package, and Freight Delivery",Financials,TN,Not Available,15835.0,9392.1,948.0,19067.0,25332.0,no,no,no,no
Liberty Mutual Insurance Group,139,1996,Insurance: Property and Casualty (Mutual),Financials,MA,Not Available,15835.0,9308.0,948.0,19067.0,25332.0,no,no,no,no
Fluor Corporation,140,1996,Engineering & Construction,Financials,CA,Not Available,15835.0,9301.4,948.0,19067.0,25332.0,no,no,no,no
Enron Corp.,141,1996,Pipelines,Financials,TX,Not Available,15835.0,9189.0,948.0,19067.0,25332.0,no,no,no,no
The Southern Company,142,1996,Utilities: Gas and Electric,Financials,GA,Not Available,15835.0,9180.0,948.0,19067.0,25332.0,no,no,no,no
"Northwest Airlines, Inc.",143,1996,Airlines,Financials,MN,Not Available,15835.0,9084.9,948.0,19067.0,25332.0,no,no,no,no
Pacific Telesis Group,144,1996,Telecommunications,Financials,CA,Not Available,15835.0,9042.0,948.0,19067.0,25332.0,no,no,no,no
Banc One Corporation,145,1996,Commercial Banks,Financials,OH,Not Available,15835.0,8970.9,948.0,19067.0,25332.0,no,no,no,no
Monsanto Company,146,1996,Chemicals,Financials,MO,Not Available,15835.0,8962.0,948.0,19067.0,25332.0,no,no,no,no
Marriott International,147,1996,"Hotels, Casinos, Resorts",Financials,DC,Not Available,15835.0,8960.7,948.0,19067.0,25332.0,no,no,no,no
Union Pacific Corporation,148,1996,Railroads,Financials,PA,Not Available,15835.0,8942.0,948.0,19067.0,25332.0,no,no,no,no
"Salomon, Inc.",149,1996,X Brokerage,Financials,NY,Not Available,15835.0,8933.0,948.0,19067.0,25332.0,no,no,no,no
"Tenneco, Inc.",150,1996,Motor Vehicles & Parts,Financials,CT,Not Available,15835.0,8899.0,948.0,19067.0,25332.0,no,no,no,no
"ITT Industries, Inc.",151,1996,Motor Vehicles & Parts,Financials,NY,Not Available,15835.0,8884.0,948.0,19067.0,25332.0,no,no,no,no
Bankers Trust New York Corporation,152,1996,Commercial Banks,Financials,NY,Not Available,15835.0,8600.0,948.0,19067.0,25332.0,no,no,no,no
Bergen Brunswig Corporation,153,1996,Wholesalers,Financials,CA,Not Available,15835.0,8447.6,948.0,19067.0,25332.0,no,no,no,no
"CPC International, Inc.",154,1996,Food,Financials,NJ,Not Available,15835.0,8431.5,948.0,19067.0,25332.0,no,no,no,no
Edison International,155,1996,Utilities: Gas and Electric,Financials,CA,Not Available,15835.0,8405.0,948.0,19067.0,25332.0,no,no,no,no
"General Mills, Inc.",156,1996,Food,Financials,MN,Not Available,15835.0,8393.6,948.0,19067.0,25332.0,no,no,no,no
"Sun Company, Inc.",157,1996,Petroleum Refining,Financials,PA,Not Available,15835.0,8370.0,948.0,19067.0,25332.0,no,no,no,no
Colgate-Palmolive Company,158,1996,"Soaps, Cosmetics",Financials,NY,Not Available,15835.0,8358.2,948.0,19067.0,25332.0,no,no,no,no
Whirlpool Corporation,159,1996,"Electronics, Electrical Equipment",Financials,MI,Not Available,15835.0,8347.0,948.0,19067.0,25332.0,no,no,no,no
"Johnson Controls, Inc.",160,1996,Motor Vehicles & Parts,Financials,WI,Not Available,15835.0,8330.3,948.0,19067.0,25332.0,no,no,no,no
Woolworth Corporation,161,1996,Specialty Retailers,Financials,NY,Not Available,15835.0,8224.0,948.0,19067.0,25332.0,no,no,no,no
H.J. Heinz Company,162,1996,Food,Financials,PA,Not Available,15835.0,8086.8,948.0,19067.0,25332.0,no,no,no,no
Time Warner Inc.,163,1996,Entertainment,Financials,NY,Not Available,15835.0,8067.0,948.0,19067.0,25332.0,no,no,no,no
College Retirement Equities Fund,164,1996,Diversified Financials,Financials,NY,Not Available,15835.0,7950.6,948.0,19067.0,25332.0,no,no,no,no
"Dean Witter, Discover & Co.",165,1996,Diversified Financials,Financials,NY,Not Available,15835.0,7934.4,948.0,19067.0,25332.0,no,no,no,no
Fleet Financial Group,166,1996,Commercial Banks,Financials,MA,Not Available,15835.0,7919.4,948.0,19067.0,25332.0,no,no,no,no
"The Limited, Inc.",167,1996,Specialty Retailers,Financials,OH,Not Available,15835.0,7881.4,948.0,19067.0,25332.0,no,no,no,no
"Cardinal Health, Inc.",168,1996,Wholesalers,Financials,OH,Not Available,15835.0,7806.1,948.0,19067.0,25332.0,no,no,no,no
Dana Corporation,169,1996,Motor Vehicles & Parts,Financials,OH,Not Available,15835.0,7794.5,948.0,19067.0,25332.0,no,no,no,no
Norwest Corporation,170,1996,Commercial Banks,Financials,MN,Not Available,15835.0,7582.3,948.0,19067.0,25332.0,no,no,no,no
Eli Lilly & Company,171,1996,Pharmaceuticals,Financials,IN,Not Available,15835.0,7535.4,948.0,19067.0,25332.0,no,no,no,no
Unocal Corporation,172,1996,Petroleum Refining,Financials,CA,Not Available,15835.0,7527.0,948.0,19067.0,25332.0,no,no,no,no
Amerada Hess Corporation,173,1996,Petroleum Refining,Financials,NY,Not Available,15835.0,7524.8,948.0,19067.0,25332.0,no,no,no,no
"USAir Group, Inc.",174,1996,Airlines,Financials,VA,Not Available,15835.0,7474.3,948.0,19067.0,25332.0,no,no,no,no
Stone Container Corporation,175,1996,Forest and Paper Products,Financials,IL,Not Available,15835.0,7351.2,948.0,19067.0,25332.0,no,no,no,no
Tosco Corporation,176,1996,Petroleum Refining,Financials,CT,Not Available,15835.0,7284.1,948.0,19067.0,25332.0,no,no,no,no
Campbell Soup Company,177,1996,Food,Financials,NJ,Not Available,15835.0,7278.0,948.0,19067.0,25332.0,no,no,no,no
"Farmland Industries, Inc.",178,1996,Food,Financials,MO,Not Available,15835.0,7256.9,948.0,19067.0,25332.0,no,no,no,no
Ralston Purina Company,180,1996,Food,Financials,MO,Not Available,15835.0,7210.3,948.0,19067.0,25332.0,no,no,no,no
General Re Corporation,181,1996,Insurance: Property and Casualty (Stock),Financials,CT,Not Available,15835.0,7210.2,948.0,19067.0,25332.0,no,no,no,no
"AFLAC, Inc.",182,1996,"Insurance: Life, Health (Stock)",Financials,GA,Not Available,15835.0,7190.6,948.0,19067.0,25332.0,no,no,no,no
"Pharmacia & Upjohn, Inc.",183,1996,Pharmaceuticals,Financials,DE,Not Available,15835.0,7094.6,948.0,19067.0,25332.0,no,no,no,no
Reynolds Metals Company,184,1996,Specialty Retailers,Financials,NC,Not Available,15835.0,7075.4,948.0,19067.0,25332.0,no,no,no,no
"PPG Industries, Inc.",185,1996,Chemicals,Financials,PA,Not Available,15835.0,7057.7,948.0,19067.0,25332.0,no,no,no,no
Warner-Lambert Company,186,1996,Pharmaceuticals,Financials,NJ,Not Available,15835.0,7039.8,948.0,19067.0,25332.0,no,no,no,no
Kellogg Company,187,1996,Food,Financials,MI,Not Available,15835.0,7003.7,948.0,19067.0,25332.0,no,no,no,no
Champion International Corporation,188,1996,Forest and Paper Products,Financials,CT,Not Available,15835.0,6972.0,948.0,19067.0,25332.0,no,no,no,no
Unicom Corporation,189,1996,Utilities: Gas and Electric,Financials,IL,Not Available,15835.0,6910.0,948.0,19067.0,25332.0,no,no,no,no
"Tele-Communications, Inc.",190,1996,Telecommunications,Financials,CO,Not Available,15835.0,6851.0,948.0,19067.0,25332.0,no,no,no,no
Eaton Corporation,191,1996,Motor Vehicles & Parts,Financials,OH,Not Available,15835.0,6821.7,948.0,19067.0,25332.0,no,no,no,no
Northrop Grumman Corporation,192,1996,Aerospace & Defense,Financials,CA,Not Available,15835.0,6818.0,948.0,19067.0,25332.0,no,no,no,no
Massachusetts Mutual Life Insurance,193,1996,"Insurance: Life, Health (Mutual)",Financials,MA,Not Available,15835.0,6804.1,948.0,19067.0,25332.0,no,no,no,no
James River Corporation of Virginia,194,1996,Forest and Paper Products,Financials,VA,Not Available,15835.0,6799.5,948.0,19067.0,25332.0,no,no,no,no
The Gillette Company,195,1996,Metal Products,Financials,MA,Not Available,15835.0,6794.7,948.0,19067.0,25332.0,no,no,no,no
"Coca-Cola Enterprises, Inc.",196,1996,Beverages,Financials,GA,Not Available,15835.0,6773.0,948.0,19067.0,25332.0,no,no,no,no
"Honeywell, Inc.",197,1996,"Scientific, Photographic and Control Equipment",Financials,MN,Not Available,15835.0,6731.3,948.0,19067.0,25332.0,no,no,no,no
Levi Strauss Associates,198,1996,Apparel,Financials,CA,Not Available,15835.0,6707.6,948.0,19067.0,25332.0,no,no,no,no
Lincoln National Corporation,199,1996,"Insurance: Life, Health (Stock)",Financials,IN,Not Available,15835.0,6633.3,948.0,19067.0,25332.0,no,no,no,no
United Services Automobile Association,200,1996,Insurance: Property and Casualty (Stock),Financials,TX,Not Available,15835.0,6610.9,948.0,19067.0,25332.0,no,no,no,no
